id,correct answer,CoT answers,length,instruction violation,internal mistake,Question,correctness
224,c,"['c' 'a' 'c' '0' 'a' 'a' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'a' 'c' 'c' 'c'
 'c' '0' 'c' 'c' 'd' 'c' 'a' 'a' 'd' 'a' 'a' 'c' 'c' 'c' 'c' '0' 'c' 'c'
 'a' 'c' '0' 'c']","[ 7  3  3  3  3  5  3  3  8 10 10  3 10  3  4  7  3  5 11  7 13  3  8  3
  7  7  8  4  4  5 10  4  7  3 11 10  4  3  3  3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","if 45 - [ 28 - { 37 - ( 15 - * ) } ] = 54 , then * is equal to : The options are: a ) - 29 , b ) - 19 , c ) 15 , d ) 29 , e ) 39","[1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1]"
225,c,"['c' 'the ratio of one tic to one toc is 14 : 3.' '2 : 21' 'a' '7 / 3' 'c'
 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'a' 'c' '9 / 28' 'c' 'c' 'a' 'c' 'a'
 '7/3' 'c' 'c' '7 / 3' '3 / 7' 'c' '3 / 2' '3 / 7' 'c' 'c' 'c' '3 / 7' 'c'
 'c' 'c' 'c' 'c']","[4 6 4 5 6 5 5 4 5 7 3 5 3 4 5 6 4 6 5 5 5 4 4 6 5 5 3 5 4 4 4 5 5 4 5 5 7
 5 4 7]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","if 2 tic equals 3 tacs and 2 tacs equal 7 tocs , what is the ratio of one tic to one toc ? The options are: a ) 15 / 2 , b ) 6 / 5 , c ) 21 / 4 , d ) 3 / 10 , e ) 1 / 15","[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
226,b,"['b' 'b' 'b' 'b' 'c' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b']","[4 4 4 4 4 3 3 3 4 5 3 4 4 3 3 3 3 3 3 5 3 5 5 4 5 4 4 4 4 4 5 5 3 3 3 5 4
 5 4 4]","[0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","how many prime numbers are between 29 / 3 and 87 / 6 ? The options are: a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
227,d,"['e' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' '3' 'e' 'e' '4725' '3994' 'e' 'e' 'e'
 'd' 'd' 'd' 'd' 'd' 'd' 'e' 'e' '525' 'd' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e'
 'e' 'd' 'e' 'e' 'd']","[5 3 3 4 3 3 3 3 3 7 9 3 4 4 6 8 4 6 3 3 3 7 3 6 4 5 3 3 5 5 5 5 6 9 5 5 3
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","find the greatest number which leaves the same remainder when it divides 25 , 57 and 105 . The options are: a ) 18 , b ) 8 , c ) 12 , d ) 16 , e ) none of these","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
228,e,"['e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e'
 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e'
 'a' 'e' 'e' 'e']","[5 5 5 5 5 5 5 5 5 7 5 5 5 5 5 5 5 5 5 5 5 6 5 6 5 5 5 5 5 5 5 5 5 4 5 6 9
 5 5 5]","[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","find large no . from below question the difference of two numbers is 1365 . on dividing the larger number by the smaller , we get 6 as quotient and the 15 as remainder The options are: a ) 1235 , b ) 1456 , c ) 1567 , d ) 1678 , e ) 1635","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]"
229,c,"['c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'd' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'd' 'c' 'c' 'c' 'c' 'c' 'e' 'error' 'error' 'd' 'c' 'c'
 'the percentage increase of the gross sales is 70%' 'c' 'a' 'c' 'c' 'c'
 'c' 'c' 'c' 'c']","[4 3 4 5 5 5 4 4 3 5 4 4 4 6 5 5 6 4 4 4 4 4 4 4 5 0 0 4 4 4 3 4 3 4 5 4 4
 4 6 4]","[ 2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  5  0  2  0  0  2  0  0
  0 10 10  9  2  0  0  2  0  0  0  0  0  0  0  2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","a furniture store owner decided to drop the price of her recliners by 20 % to spur business . by the end of the week she had sold 50 % more recliners . what is the percentage increase of the gross ? The options are: a ) 10 % , b ) 15 % , c ) 20 % , d ) 25 % , e ) 50 %","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
230,c,"['c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 '3200' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' '3200' 'c' 'c' 'c' 'c' '3200'
 'c' 'c' 'c' 'c' '3200' 'c']","[3 6 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 2 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","108 ã — 108 + 92 ã — 92 = ? The options are: a ) 20120 , b ) 11500 , c ) 20128 , d ) 20660 , e ) 20228","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]"
231,e,"['a' 'c' 'e' 'e' 'b' '0.75' 'b' '0.750' 'c' 'b' 'c' 'b' 'e' 'e' 'b' '7.5'
 'e' 'c' 'e' 'e' 'c' 'c' 'e' '0.750' 'b' 'b' 'b' 'b' 'b' 'c' 'b' 'e' 'c'
 'b' 'b' 'e' 'b' 'e' '0.75' 'a']","[4 5 4 3 4 4 3 4 3 3 3 5 4 4 3 4 4 4 4 3 4 5 4 3 4 4 4 5 3 4 3 3 3 3 5 4 3
 3 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","7.515 / 10.02 = The options are: a ) 0.35 , b ) 0.3505 , c ) 0.3509 , d ) 0.351 , e ) 0.75","[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]"
232,d,"['c' 'e' 'c' 'c' 'c' 'd' 'd' 'd' 'c' 'd' 'c' 'c' 'd' 'd' 'c' 'c' 'c' 'c'
 'c' 'd' 'd' 'c' 'c' 'c' 'c' 'c' 'c' 'd' 'd' 'c' 'c' 'c' 'd' 'd' 'd' 'c'
 'd' 'c' 'c' 'd']","[2 3 3 3 3 4 3 3 2 3 3 2 3 4 5 3 3 3 3 4 4 3 3 3 4 3 3 6 4 3 3 4 3 6 3 3 2
 3 2 3]","[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","1 - 1 - 1 - 1 - 1 - 1 do any operations between the numbers to make the sum as 37 ? The options are: a ) 34 , b ) 35 , c ) 36 , d ) 37 , e ) 38","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1]"
233,c,"['d' 'e' 'c' 'c' 'a' 'b' 'e' 'c' 'e' '130' 'c' 'd' 'e' 'd' '57' 'c' '30'
 '130' 'c' 'd' 'd' 'e' 'e' 'c' 'd' '30' 'c' 'c' 'd' 'd' 'c' 'e' 'd' 'e'
 '57' 'e' 'e' 'c' 'e' 'd']","[8 4 7 5 4 4 4 5 3 5 5 5 4 4 5 5 5 5 5 4 5 6 4 9 5 4 5 8 4 5 5 4 4 5 4 4 4
 5 4 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","150 college students were asked in a survey if they preferred windows or mac brand computers . 40 students claimed that they preferred mac to windows brand computers . one third as many of the students who preferred mac to windows , equally preferred both brands . 40 of the students had no preference . how many of the students in the survey preferred windows to mac brand computers ? The options are: a ) 25 , b ) 40 , c ) 70 , d ) 60 , e ) 75","[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
234,a,"['b' 'b' 'b' 'b' 'a' 'b' 'b' 'b' 'a' 'b' 'a' 'b' 'b' 'b' 'b' 'a' 'a' 'a'
 'a' 'a' 'b' 'a' 'e' 'c' 'a' 'b' 'a' 'b' 'd' 'b' 'a' 'a' 'b' 'a' 'b' 'e'
 'a' 'a' 'a' 'e']","[4 4 4 3 3 4 4 4 3 5 4 4 4 3 6 7 5 4 4 4 4 3 4 8 4 4 6 4 5 4 6 4 4 4 6 5 5
 3 4 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","two trains of equal length are running on parallel lines in the same directions at 46 km / hr . and 36 km / hr . the faster trains pass the slower train in 18 seconds . the length of each train is : The options are: a ) 25 m , b ) 50 m , c ) 72 m , d ) 80 m , e ) none of these","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0]"
235,c,"['c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'c' 'c' 'c' 'c']","[3 3 3 3 3 2 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3
 3 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","what is the area of a square field whose sides have a length of 11 meters ? The options are: a ) 225 sq m , b ) 205 sq m , c ) 121 sq m , d ) 167 sq m , e ) 156 sq m","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
236,c,"['c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'c' '0' 'c' 'c' 'c' 'c' 'c' 'c' 'a' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'c' 'c' 'c' 'c']","[7 5 5 7 5 7 7 5 5 7 7 7 5 7 7 7 5 7 5 7 7 5 7 7 7 7 4 7 3 5 5 7 7 7 7 7 7
 7 7 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","what is the unit digit of ( 6 ! * 3 ! / 3 ! * 4 ! ) ? The options are: a ) 5 , b ) 6 , c ) 0 , d ) 3 , e ) 4","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
237,b,"['a' 'c' 'a' 'a' 'b' 'c' 'a' 'a' 'a' 'a' 'a' 'b' 'b' 'a' 'a' 'c' 'b' 'c'
 'a' 'b' 'c' 'a' 'a' '4.5' 'c' 'b' 'a' 'c' 'c' 'b' 'c' 'b' 'b' 'a' 'b' 'c'
 '-13' 'a' 'c' 'c']","[5 6 1 1 6 1 5 8 5 5 5 0 3 4 8 1 5 1 5 0 1 1 5 6 1 3 8 1 1 6 1 6 6 8 3 1 5
 1 5 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","in the coordinate plane , points ( x , 2 ) and ( 4 , y ) are on line k . if line k passes through the origin and has slope 1 / 4 , then x - y = The options are: a ) 6 , b ) 7 , c ) 8 , d ) 9 , e ) 10","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
238,a,"['a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a'
 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a'
 'a' 'a' 'a' 'a']","[3 3 3 3 3 3 4 3 4 3 3 3 3 3 3 3 3 3 3 3 9 3 3 3 3 3 3 2 3 3 3 3 3 4 3 3 3
 4 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","275 metres long yard , 26 trees are palnted at equal distances , one tree being at each end of the yard . what is the distance between 2 consecutive trees The options are: a ) 11 , b ) 12 , c ) 14 , d ) 16 , e ) 17","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
239,b,"['b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'd' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b']","[7 6 7 7 8 7 7 8 8 8 7 8 6 7 8 8 8 8 7 7 7 8 6 8 8 8 8 6 7 6 8 6 6 8 7 7 7
 8 7 7]","[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","a group of boy scouts and girls scouts is going on a rafting trip . 60 % of the scouts arrived with signed permission slips . if 45 % of the scouts were boy scouts and 50 % of the boy scouts arrived with signed permission slips , then what percentage of the girl scouts arrived with signed permission slips ? round to the nearest percent . The options are: a ) 64 , b ) 68 , c ) 72 , d ) 76 , e ) 80","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
240,c,"['530 m' 'c' 'c' 'c' 'c' '530' '375' 'c' 'c' 'c' '375' '375' 'c' 'c' 'c'
 'c' 'c' '530' '375' '530 m' 'c' '530 m' 'c' 'c' 'c' '530' 'c' 'c' '530'
 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c']","[8 5 3 5 9 3 6 6 3 6 6 6 3 3 3 6 3 3 6 7 4 3 6 9 4 4 3 4 4 5 5 5 4 6 4 3 6
 3 4 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","the length of the bridge , which a train 155 metres long and travelling at 45 km / hr can cross in 30 seconds , is ? The options are: a ) 76 m , b ) 178 m , c ) 220 m , d ) 187 m , e ) 176 m","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
241,b,"['b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b']","[4 4 4 4 7 4 3 7 4 4 4 4 4 4 4 4 5 6 4 4 6 4 4 4 4 4 4 4 4 5 3 4 4 4 4 4 6
 5 5 4]","[0 0 0 0 0 0 0 0 0 0 0 0 9 0 5 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","the shopkeeper sale , all of the prices of the items sold were different . if the price of a radio sold at the shopkeeper sale was both the 9 th highest price and the 14 th lowest price among the prices of the items sold , how many items were sold at the shopkeeper sale ? The options are: a ) 23 , b ) 22 , c ) 32 , d ) 26 , e ) 17","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
242,d,"['a' 'd' '800' 'a' 'd' 'd' 'd' 'a' 'd' 'd' 'd' 'd' 'a' 'd' 'd' 'a' 'd' 'd'
 'a' 'd' 'd' 'd' '160' 'd' 'd' 'a' 'd' 'd' 'd' 'd' 'a' 'a' 'd' 'a' 'a' 'a'
 'a' 'd' 'd' 'd']","[3 5 7 3 4 6 4 3 7 4 7 5 3 6 4 3 5 4 3 6 5 4 7 5 4 3 6 4 5 4 3 3 5 3 3 3 4
 5 6 7]","[0 2 0 0 2 0 0 0 0 0 0 0 2 0 0 0 2 5 5 0 2 0 0 0 0 2 0 0 2 0 0 0 0 0 2 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","find the value of 2 x [ ( 3.6 x 0.48 x 2.50 ) / ( 0.12 x 0.09 x 0.5 ) ] The options are: a ) 800 , b ) 500 , c ) 900 , d ) 1600 , e ) none","[0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
243,c,"['c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'c' 'c' 'c' 'c']","[4 3 5 5 4 4 4 5 5 4 4 5 5 4 4 4 5 5 5 4 6 5 3 5 4 5 5 6 4 5 5 4 6 6 5 4 4
 6 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","20 is subtracted from 80 % of a number , the result is 60 . find the number ? The options are: a ) 150 , b ) 997 , c ) 100 , d ) 288 , e ) 271","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
244,a,"['c' 'd' 'd' 'c' 'd' 'c' 'd' 'd' 'd' 'c' 'c' 'd'
 'the cost of gravelling the path is 360 inr, which is not provided in the options.'
 'c' 'd' 'd' 'd' 'c' 'd' 'd' 'd' 'd' 'd' 'a' 'd' 'd' 'd' 'a' 'd' 'a' 'd'
 'c' 'd' 'd' 'c' 'd' 'd' 'd' 'c' 'd']","[5 4 4 5 4 4 4 4 4 5 6 4 4 4 4 4 4 5 4 4 4 4 4 5 4 4 4 4 4 4 4 4 4 4 6 4 4
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","a rectangular grassy plot 110 m . by 65 m has a gravel path 2.5 m wide all round it on the inside . find the cost of gravelling the path at 40 paise per sq . metre The options are: a ) s 340 , b ) s 780 , c ) s 880 , d ) s 480 , e ) s 980","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
245,d,"['d' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd'
 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'd'
 'd' 'd' 'd' 'd']","[4 4 5 4 4 4 4 4 4 4 4 4 4 4 4 4 5 4 4 4 4 4 5 5 4 4 4 4 4 4 5 4 4 4 5 4 4
 4 4 5]","[0 0 0 0 0 0 0 2 0 5 0 2 0 2 0 0 5 9 0 0 0 0 0 2 0 0 9 0 5 0 0 0 2 0 2 2 2
 0 0 2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","there are 280 doctors and nurses at a hospital . if the ratio of doctors to nurses is 5 to 9 , how many nurses are at the hospital ? The options are: a ) 165 , b ) 170 , c ) 175 , d ) 180 , e ) 185","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
